INFO 2025-04-19 14:38:45,456 autoreload Watching for file changes with StatReloader
WARNING 2025-04-19 15:04:22,104 views Файл удалён: Сертификат Нетология вводный курс Python.jpg
INFO 2025-04-19 15:04:22,108 basehttp "DELETE /api/storage/7/delete/ HTTP/1.1" 204 0
INFO 2025-04-19 15:04:22,190 basehttp "GET /api/storage/ HTTP/1.1" 200 2
INFO 2025-04-19 15:04:38,286 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 15:04:38,310 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 15:04:38,414 basehttp "GET /api/users/me/ HTTP/1.1" 200 87
INFO 2025-04-19 15:04:38,436 basehttp "GET /api/storage/ HTTP/1.1" 200 2
INFO 2025-04-19 15:04:38,446 basehttp "GET /api/users/me/ HTTP/1.1" 200 87
INFO 2025-04-19 15:04:38,465 basehttp "GET /api/storage/ HTTP/1.1" 200 2
INFO 2025-04-19 15:04:41,662 basehttp "POST /api/users/logout/ HTTP/1.1" 200 29
INFO 2025-04-19 15:04:45,178 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
WARNING 2025-04-19 15:04:45,693 log Bad Request: /api/users/login/
WARNING 2025-04-19 15:04:45,695 basehttp "POST /api/users/login/ HTTP/1.1" 400 41
INFO 2025-04-19 15:04:53,167 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
WARNING 2025-04-19 15:04:53,175 log Forbidden: /api/users/me/
INFO 2025-04-19 15:04:53,177 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
WARNING 2025-04-19 15:04:53,185 log Forbidden: /api/users/me/
WARNING 2025-04-19 15:04:53,186 basehttp "GET /api/users/me/ HTTP/1.1" 403 82
WARNING 2025-04-19 15:04:53,191 basehttp "GET /api/users/me/ HTTP/1.1" 403 82
INFO 2025-04-19 15:05:49,768 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
WARNING 2025-04-19 15:05:50,069 log Bad Request: /api/users/register/
WARNING 2025-04-19 15:05:50,070 basehttp "POST /api/users/register/ HTTP/1.1" 400 97
INFO 2025-04-19 15:07:02,712 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
WARNING 2025-04-19 15:07:02,717 log Forbidden: /api/users/me/
WARNING 2025-04-19 15:07:02,728 log Forbidden: /api/users/me/
INFO 2025-04-19 15:07:02,730 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
WARNING 2025-04-19 15:07:02,731 basehttp "GET /api/users/me/ HTTP/1.1" 403 82
WARNING 2025-04-19 15:07:02,731 basehttp "GET /api/users/me/ HTTP/1.1" 403 82
INFO 2025-04-19 15:07:05,809 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
WARNING 2025-04-19 15:07:05,816 log Forbidden: /api/users/me/
WARNING 2025-04-19 15:07:05,822 log Forbidden: /api/users/me/
WARNING 2025-04-19 15:07:05,823 basehttp "GET /api/users/me/ HTTP/1.1" 403 82
